"","year","category","winner","entity","budget","company","country","director","genre","gross","rating","released","runtime"
"566",1990,"SOUND",FALSE,"Dick Tracy",4.7e+07,"Touchstone Pictures","USA","Warren Beatty","Action",103738726,"PG","1990-06-15",105
"567",1990,"SOUND",FALSE,"The Hunt for Red October",3e+07,"Paramount Pictures","USA","John McTiernan","Action",122012643,"PG","1990-03-02",135
"568",1990,"SOUND",FALSE,"Total Recall",NA,NA,NA,NA,NA,NA,NA,NA,NA
"569",1990,"SOUND EFFECTS EDITING",FALSE,"Flatliners",2.6e+07,"Columbia Pictures Corporation","USA","Joel Schumacher","Drama",61490000,"R","1990-08-10",115
"570",1990,"SOUND EFFECTS EDITING",TRUE,"The Hunt for Red October",3e+07,"Paramount Pictures","USA","John McTiernan","Action",122012643,"PG","1990-03-02",135
"571",1990,"SOUND EFFECTS EDITING",FALSE,"Total Recall",NA,NA,NA,NA,NA,NA,NA,NA,NA
"572",1990,"WRITING (Screenplay Based on Material from Another Medium)",FALSE,"Awakenings",0,"Columbia Pictures Corporation","USA","Penny Marshall","Biography",52096475,"PG-13","1991-01-11",121
"573",1990,"WRITING (Screenplay Based on Material from Another Medium)",TRUE,"Dances With Wolves",NA,NA,NA,NA,NA,NA,NA,NA,NA
"574",1990,"WRITING (Screenplay Based on Material from Another Medium)",FALSE,"Good Fellas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"575",1990,"WRITING (Screenplay Based on Material from Another Medium)",FALSE,"The Grifters",0,"Cineplex-Odeon Films","USA","Stephen Frears","Crime",13446769,"R","1991-01-25",110
"576",1990,"WRITING (Screenplay Based on Material from Another Medium)",FALSE,"Reversal of Fortune",0,"Sovereign Pictures","USA","Barbet Schroeder","Biography",15445131,"R","1990-11-09",111
"577",1990,"WRITING (Screenplay Written Directly for the Screen)",FALSE,"Alice",1.2e+07,"Orion Pictures","USA","Woody Allen","Comedy",7331647,"PG-13","1991-01-10",106
"578",1990,"WRITING (Screenplay Written Directly for the Screen)",FALSE,"Avalon",0,"TriStar Pictures","USA","Barry Levinson","Drama",15740796,"PG","1990-10-19",128
"579",1990,"WRITING (Screenplay Written Directly for the Screen)",TRUE,"Ghost",2.2e+07,"Paramount Pictures","USA","Jerry Zucker","Drama",217631306,"PG-13","1990-07-13",127
"580",1990,"WRITING (Screenplay Written Directly for the Screen)",FALSE,"Green Card",0,"Touchstone Pictures","France","Peter Weir","Comedy",29888235,"PG-13","1991-02-01",103
